participant	trial_id	bloc	bloc_name	trial_id_withinbloc	trial_file_id	order	dwell	practice	diff_global	diff_crowding	diff_innercrowding	diff_deformation	diff_deformation_sum	global	crowding	innercrowding	deformation	deformation_sum	trial_start	trial_end	task_start	task_end	highlight_start	highlight_end	animation_start	animation_end	answer_start	answer_end	target_0	target_1	target_2	answer_0	answer_1	answer_2	error_0	error_1	error_2	error	error_asifA	normalized_error	normalized_error_asifA	common_targets	common_targets_percent	all_common_targets	correct_targets	correct_targets_percent	all_correct_targets	targets_switch	targets_switch_percent	any_targets_switch
p07	0	0	off	0	0	INIT	0.0	true	H	H	M	M	M	0.7570	0.7177	6.9640	0.0244	1.4622	2014-03-21 13:08:57.823	2014-03-21 13:10:04.248	2014-03-21 13:09:03.829	2014-03-21 13:10:04.077	2014-03-21 13:09:03.829	2014-03-21 13:09:06.575	2014-03-21 13:09:07.823	2014-03-21 13:09:09.679	2014-03-21 13:09:09.679	2014-03-21 13:10:04.077	7	8	26	7	3	1	0.2916	0.3010	0.2135	0.2687	0.2634	0.4999	0.4902	1	0.3333	0	0	0.0000	0	1	0.3333	1
p07	1	0	off	1	1	INIT	0.0	true	M	H	E	M	M	0.7342	0.6234	3.4518	0.0169	1.0115	2014-03-21 13:10:06.307	2014-03-21 13:10:25.339	2014-03-21 13:10:10.597	2014-03-21 13:10:23.249	2014-03-21 13:10:10.597	2014-03-21 13:10:13.187	2014-03-21 13:10:13.795	2014-03-21 13:10:15.667	2014-03-21 13:10:15.667	2014-03-21 13:10:23.249	0	11	12	4	15	12	0.1912	0.6996	0.0000	0.2969	0.2969	0.4927	0.4927	1	0.3333	0	1	0.3333	0	0	0.0000	0
p07	2	0	off	2	2	INIT	0.0	true	H	H	M	M	M	0.7764	0.6506	6.3965	0.0113	0.6799	2014-03-21 13:10:27.399	2014-03-21 13:10:42.952	2014-03-21 13:10:28.631	2014-03-21 13:10:41.298	2014-03-21 13:10:28.631	2014-03-21 13:10:30.721	2014-03-21 13:10:31.314	2014-03-21 13:10:33.186	2014-03-21 13:10:33.186	2014-03-21 13:10:41.298	5	13	28	22	13	28	0.4141	0.0000	0.0000	0.1380	0.1380	0.2497	0.2497	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	3	0	off	3	3	INIT	0.0	true	H	H	M	M	M	0.7784	0.7074	8.3853	0.0160	0.9620	2014-03-21 13:10:44.995	2014-03-21 13:10:59.597	2014-03-21 13:10:46.041	2014-03-21 13:10:58.162	2014-03-21 13:10:46.041	2014-03-21 13:10:48.661	2014-03-21 13:10:49.083	2014-03-21 13:10:50.955	2014-03-21 13:10:50.955	2014-03-21 13:10:58.162	0	3	13	28	3	13	0.3428	0.0000	0.0000	0.1143	0.1143	0.2250	0.2250	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	4	1	on1	0	0	YORDER	0.2	true	M	M	M	M	M	0.6441	0.6037	6.7516	0.0232	1.3904	2014-03-21 13:11:20.72	2014-03-21 13:11:36.366	2014-03-21 13:11:22.888	2014-03-21 13:11:34.962	2014-03-21 13:11:22.888	2014-03-21 13:11:25.041	2014-03-21 13:11:26.382	2014-03-21 13:11:28.254	2014-03-21 13:11:28.254	2014-03-21 13:11:34.962	7	8	26	7	8	15	0.0000	0.0000	0.2751	0.0917	0.0917	0.1721	0.1721	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	5	1	on1	1	1	YORDER	0.2	true	M	M	E	M	M	0.7000	0.5211	3.2820	0.0160	0.9627	2014-03-21 13:11:38.426	2014-03-21 13:11:53.604	2014-03-21 13:11:39.237	2014-03-21 13:11:51.264	2014-03-21 13:11:39.237	2014-03-21 13:11:41.358	2014-03-21 13:11:42.638	2014-03-21 13:11:44.51	2014-03-21 13:11:44.51	2014-03-21 13:11:51.264	0	11	12	0	5	12	0.0000	0.4836	0.0000	0.1612	0.1612	0.2652	0.2652	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	6	1	on1	2	2	YORDER	0.2	true	M	M	M	E	E	0.6970	0.5526	6.0365	0.0100	0.6010	2014-03-21 13:11:55.648	2014-03-21 13:12:08.253	2014-03-21 13:11:56.194	2014-03-21 13:12:06.896	2014-03-21 13:11:56.194	2014-03-21 13:11:58.191	2014-03-21 13:11:59.345	2014-03-21 13:12:01.217	2014-03-21 13:12:01.217	2014-03-21 13:12:06.896	5	13	28	16	13	28	0.1663	0.0000	0.0000	0.0554	0.0554	0.1005	0.1005	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	7	1	on1	3	3	YORDER	0.2	true	M	H	M	M	M	0.6515	0.6111	8.0479	0.0154	0.9263	2014-03-21 13:12:10.296	2014-03-21 13:12:23.634	2014-03-21 13:12:10.952	2014-03-21 13:12:22.308	2014-03-21 13:12:10.952	2014-03-21 13:12:12.824	2014-03-21 13:12:13.728	2014-03-21 13:12:15.6	2014-03-21 13:12:15.6	2014-03-21 13:12:22.308	0	3	13	8	3	13	0.1900	0.0000	0.0000	0.0633	0.0633	0.1241	0.1241	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	8	2	on2	0	0	YORDER	0.6	true	M	M	M	M	M	0.6797	0.4913	4.5999	0.0190	1.1376	2014-03-21 13:12:30.452	2014-03-21 13:12:44.226	2014-03-21 13:12:31.06	2014-03-21 13:12:42.994	2014-03-21 13:12:31.06	2014-03-21 13:12:32.121	2014-03-21 13:12:33.291	2014-03-21 13:12:35.163	2014-03-21 13:12:35.163	2014-03-21 13:12:42.994	20	22	28	20	21	28	0.0000	0.3077	0.0000	0.1026	0.1026	0.1910	0.1910	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	9	2	on2	1	1	YORDER	0.6	true	M	M	M	H	H	0.6835	0.5072	4.8063	0.0331	1.9875	2014-03-21 13:12:46.286	2014-03-21 13:12:59.78	2014-03-21 13:12:46.785	2014-03-21 13:12:58.501	2014-03-21 13:12:46.785	2014-03-21 13:12:49.468	2014-03-21 13:12:50.669	2014-03-21 13:12:52.541	2014-03-21 13:12:52.541	2014-03-21 13:12:58.501	9	13	27	9	21	27	0.0000	0.4201	0.0000	0.1400	0.1400	0.2720	0.2720	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	10	2	on2	2	2	YORDER	0.6	true	M	M	M	M	M	0.6329	0.4711	7.2689	0.0249	1.4952	2014-03-21 13:13:01.839	2014-03-21 13:13:15.224	2014-03-21 13:13:02.681	2014-03-21 13:13:13.726	2014-03-21 13:13:02.681	2014-03-21 13:13:04.46	2014-03-21 13:13:05.489	2014-03-21 13:13:07.361	2014-03-21 13:13:07.361	2014-03-21 13:13:13.726	20	27	28	11	1	28	0.8474	0.2736	0.0000	0.3737	0.3737	0.7273	0.7273	1	0.3333	0	1	0.3333	0	0	0.0000	0
p07	11	2	on2	3	3	YORDER	0.6	true	E	E	M	M	M	0.5973	0.4256	4.8502	0.0211	1.2657	2014-03-21 13:13:17.267	2014-03-21 13:13:29.17	2014-03-21 13:13:17.751	2014-03-21 13:13:27.86	2014-03-21 13:13:17.751	2014-03-21 13:13:19.124	2014-03-21 13:13:20.185	2014-03-21 13:13:22.057	2014-03-21 13:13:22.057	2014-03-21 13:13:27.86	6	7	21	4	7	21	0.5875	0.0000	0.0000	0.1958	0.1958	0.3784	0.3784	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	12	3	on3	0	0	MINCROWDING	0.2	true	E	M	M	M	M	0.5809	0.5521	5.2637	0.0224	1.3444	2014-03-21 13:13:38.156	2014-03-21 13:13:52.352	2014-03-21 13:13:40.121	2014-03-21 13:13:51.213	2014-03-21 13:13:40.121	2014-03-21 13:13:42.103	2014-03-21 13:13:43.132	2014-03-21 13:13:45.004	2014-03-21 13:13:45.004	2014-03-21 13:13:51.213	5	12	23	6	12	23	0.1580	0.0000	0.0000	0.0527	0.0527	0.1038	0.1038	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	13	3	on3	1	1	MINCROWDING	0.2	true	E	M	M	M	M	0.6215	0.4980	7.1775	0.0253	1.5193	2014-03-21 13:13:57.125	2014-03-21 13:14:10.183	2014-03-21 13:13:57.703	2014-03-21 13:14:08.779	2014-03-21 13:13:57.703	2014-03-21 13:13:59.419	2014-03-21 13:14:00.994	2014-03-21 13:14:02.866	2014-03-21 13:14:02.866	2014-03-21 13:14:08.779	3	7	21	11	7	22	0.3645	0.0000	0.2402	0.2016	0.2016	0.3324	0.3324	1	0.3333	0	1	0.3333	0	0	0.0000	0
p07	14	3	on3	2	2	MINCROWDING	0.2	true	E	E	E	M	M	0.5397	0.4261	2.3951	0.0142	0.8527	2014-03-21 13:14:15.05	2014-03-21 13:14:27.857	2014-03-21 13:14:15.705	2014-03-21 13:14:26.422	2014-03-21 13:14:15.705	2014-03-21 13:14:17.983	2014-03-21 13:14:19.028	2014-03-21 13:14:20.9	2014-03-21 13:14:20.9	2014-03-21 13:14:26.422	8	9	26	8	9	26	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p07	15	3	on3	3	3	MINCROWDING	0.2	true	E	M	M	H	H	0.5810	0.5337	6.3245	0.0292	1.7509	2014-03-21 13:14:32.647	2014-03-21 13:14:45.844	2014-03-21 13:14:33.458	2014-03-21 13:14:44.518	2014-03-21 13:14:33.458	2014-03-21 13:14:35.252	2014-03-21 13:14:37.061	2014-03-21 13:14:38.933	2014-03-21 13:14:38.933	2014-03-21 13:14:44.518	4	5	28	4	5	15	0.0000	0.0000	0.5488	0.1829	0.1829	0.3647	0.3647	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	16	4	on4	0	0	MINCROWDING	0.6	true	E	E	M	M	M	0.5598	0.4665	7.4230	0.0216	1.2975	2014-03-21 13:14:54.315	2014-03-21 13:15:07.372	2014-03-21 13:14:55.251	2014-03-21 13:15:06.28	2014-03-21 13:14:55.251	2014-03-21 13:14:57.404	2014-03-21 13:14:58.2	2014-03-21 13:15:00.087	2014-03-21 13:15:00.087	2014-03-21 13:15:06.28	7	10	12	7	26	12	0.0000	0.2252	0.0000	0.0751	0.0751	0.1511	0.1511	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	17	4	on4	1	1	MINCROWDING	0.6	true	E	M	M	M	M	0.6207	0.4797	6.2087	0.0123	0.7367	2014-03-21 13:15:12.895	2014-03-21 13:15:24.376	2014-03-21 13:15:13.316	2014-03-21 13:15:23.128	2014-03-21 13:15:13.316	2014-03-21 13:15:14.611	2014-03-21 13:15:16.046	2014-03-21 13:15:17.918	2014-03-21 13:15:17.918	2014-03-21 13:15:23.128	1	4	18	2	4	18	0.7184	0.0000	0.0000	0.2395	0.2395	0.4020	0.4020	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	18	4	on4	2	2	MINCROWDING	0.6	true	E	M	M	H	H	0.5753	0.5359	4.2108	0.0329	1.9715	2014-03-21 13:15:29.946	2014-03-21 13:15:42.925	2014-03-21 13:15:30.429	2014-03-21 13:15:41.926	2014-03-21 13:15:30.429	2014-03-21 13:15:31.646	2014-03-21 13:15:33.502	2014-03-21 13:15:35.374	2014-03-21 13:15:35.374	2014-03-21 13:15:41.926	17	18	27	17	18	27	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p07	19	4	on4	3	3	MINCROWDING	0.6	true	E	E	M	H	H	0.5590	0.4348	5.3003	0.0300	1.7973	2014-03-21 13:15:48.478	2014-03-21 13:16:00.631	2014-03-21 13:15:49.368	2014-03-21 13:15:59.586	2014-03-21 13:15:49.368	2014-03-21 13:15:50.569	2014-03-21 13:15:52.441	2014-03-21 13:15:54.313	2014-03-21 13:15:54.313	2014-03-21 13:15:59.586	4	16	19	4	3	19	0.0000	0.5667	0.0000	0.1889	0.1889	0.4234	0.4234	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	25	5	on3	0	0	MINCROWDING	0.2	false	E	E	M	M	M	0.5639	0.4211	4.3632	0.0116	0.6956	2014-03-21 13:16:20.474	2014-03-21 13:16:31.035	2014-03-21 13:16:21.847	2014-03-21 13:16:30.926	2014-03-21 13:16:21.847	2014-03-21 13:16:23.266	2014-03-21 13:16:24.0	2014-03-21 13:16:25.872	2014-03-21 13:16:25.872	2014-03-21 13:16:30.926	3	14	15	6	14	15	0.3360	0.0000	0.0000	0.1120	0.1120	0.2059	0.2059	2	0.6667	0	2	0.6667	0	0	0.0000	0
p07	26	5	on3	1	1	MINCROWDING	0.2	false	E	M	E	E	E	0.5420	0.4933	2.6220	0.0056	0.3380	2014-03-21 13:16:36.308	2014-03-21 13:16:46.838	2014-03-21 13:16:36.932	2014-03-21 13:16:46.043	2014-03-21 13:16:36.932	2014-03-21 13:16:38.96	2014-03-21 13:16:39.834	2014-03-21 13:16:41.706	2014-03-21 13:16:41.706	2014-03-21 13:16:46.043	4	5	29	4	5	29	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p07	27	5	on3	2	2	MINCROWDING	0.2	false	E	E	M	M	M	0.5320	0.4636	6.8172	0.0234	1.4021	2014-03-21 13:16:51.612	2014-03-21 13:17:03.499	2014-03-21 13:16:52.205	2014-03-21 13:17:02.22	2014-03-21 13:16:52.205	2014-03-21 13:16:53.25	2014-03-21 13:16:53.874	2014-03-21 13:16:55.746	2014-03-21 13:16:55.746	2014-03-21 13:17:02.22	19	27	28	19	20	26	0.0000	0.1482	0.2978	0.1487	0.1487	0.2691	0.2691	1	0.3333	0	1	0.3333	0	0	0.0000	0
