absolute_gain	relative_gain
0.2228546851761164	-1.0
0.2035986366473595	-1.0
0.18011803758793288	-1.0
0.1745758071608851	-1.0
0.1744408821559768	-1.0
0.16928747592576587	-1.0
0.16529827708837935	-1.0
0.16451043631220275	-1.0
0.16260059477658206	-1.0
0.16216208689198108	-1.0
0.16181592383445836	-1.0
0.15713954502577998	-1.0
0.15561836363920906	-1.0
0.1552535501304455	-1.0
0.1550708209197793	-1.0
0.15423119025219467	-1.0
0.15229001347566629	-1.0
0.1521656675535379	-1.0
0.15121183021737372	-1.0
0.14897210010386946	-1.0
0.14830503857658128	-1.0
0.14806112296713486	-1.0
0.14786718913076285	-1.0
0.14785788395207078	-1.0
0.14781861250624856	-1.0
0.14679759820230132	-1.0
0.144760417954387	-1.0
0.1442099601102319	-1.0
0.1438335512751202	-1.0
0.14272331673836797	-1.0
0.14189232918014266	-1.0
0.1414973231662267	-1.0
0.14148282951441676	-1.0
0.1407151689202032	-1.0
0.14052412386951235	-1.0
0.13947399060054322	-1.0
0.138060943124094	-1.0
0.13803620852050713	-1.0
0.13718635768008358	-1.0
0.1369296906548202	-1.0
0.13686313191477645	-1.0
0.13649368038462528	-1.0
0.13602435065180285	-1.0
0.1352728104412656	-1.0
0.1351886231938229	-1.0
0.13517647792809317	-1.0
0.13442357701703556	-1.0
0.13435997567972807	-1.0
0.1342310438341684	-1.0
0.1339807466278995	-1.0
0.1337650393774431	-1.0
0.1336683543357821	-1.0
0.1336623166648261	-1.0
0.1336300947372599	-1.0
0.1332553438290917	-1.0
0.1329391523223039	-1.0
0.13261160660667737	-1.0
0.13256166624281812	-1.0
0.13180835687605352	-1.0
0.13156059511342044	-1.0
0.13142432799366222	-1.0
0.13135174298797087	-1.0
0.13121104856722998	-1.0
0.13112941008804951	-1.0
0.1311018714036194	-1.0
0.13096222445562145	-1.0
0.13096182577732535	-1.0
0.13096119036671122	-1.0
0.13083594430605794	-1.0
0.1295668738674024	-1.0
0.12911851290067305	-1.0
0.12891806477346168	-1.0
0.12833496922945475	-1.0
0.127902520497447	-1.0
0.12782582753385796	-1.0
0.12709430348759443	-1.0
0.1266277785538773	-1.0
0.12629387237491618	-1.0
0.12542446725742895	-1.0
0.12510549660000314	-1.0
0.12492837038001864	-1.0
0.1239709778509151	-1.0
0.12388747817485185	-1.0
0.12377899292903605	-1.0
0.1233607039406609	-1.0
0.12325530307862342	-1.0
